year,period,period_end,municipality_name,population,estimated_revenue,estimated_obligations,revenue_shortfall,bo_actual,bo_calculated,equalization_support,source_file,source_status
2021,Q3,2021-09-30,Белоярский,28741,1931002.4,1820541.3,-110461.09999999986,1.2469397254744374,0.6731679144265387,0,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Берёзовский,22286,1983384.047950322,1910587.8,-72796.247950322,1.2669059575559976,0.31073301033015915,0,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Когалым,68847,3350894.0999999996,2678001.3,-672892.7999999998,1.2519109986360788,1.014758984849819,0,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Кондинский,30570,2246123.6,2315693.5,69569.8999999999,1.2918084086588597,0.42650435759713884,40702.7,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Лангепас,45063,1427335.6,1453296.1,25960.5,1.1129577543672653,0.5865959519833364,17629.3,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Мегион,53007,2038932.7,2136988.8,98056.09999999986,1.1979747411040798,0.8490425944199206,61862.5,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Нефтеюганск,128159,5927345.699999999,4821442.2,-1105903.499999999,1.3218318172503185,0.9506288641798817,0,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Нефтеюганский,44987,3278365,3247925,-30440,1.3906767700062612,1.5070240610411827,0,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Нижневартовск,278725,9348689.1,9428971.7,80282.59999999963,1.1890304858709309,0.9329040384340108,51030.4,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Нижневартовский,36222,3772211.3,3333572,-438639.2999999998,1.4492468083803867,1.7890125285837823,0,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Нягань,58733,2182227.2,2279440.5,97213.29999999981,1.3013789122078163,0.6969007862340206,56457.5,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Октябрьский,27894,1978995.0000000002,1956226,-22769.000000000233,1.2518515789393874,0.738433534477561,0,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Покачи,18217,694303.6,782714.4,88410.80000000005,1.0920142964651074,0.5394604148206744,61189.6,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Пыть-Ях,39436,1799550.1,1785438.9,-14111.200000000186,1.3399447058108511,0.8004570496859114,0,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Радужный,44127,1524257.1,1540562,16304.899999999907,1.1326429548308057,0.5986706267038334,10879.9,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Советский,47338,2058617.7870880875,2160241.1,101623.31291191257,1.3366702135691986,0.5822765021505674,57460.5,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Сургут,387235,14097375.5,13922465.2,-174910.30000000075,1.3252700244606088,1.1236655189278117,0,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Сургутский,126110,7375857.300000001,7235993.8,-139863.50000000093,1.5963732000067106,1.8770063211576824,0,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Урай,40692,1626450.5,1630702.3,4251.800000000047,1.1830618469303524,0.64967939843522,2716.2,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Ханты-Мансийск,103117,4990400.5,4920683.8,-69716.70000000019,1.558235068437207,1.0899466215933087,0,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Ханты-Мансийский,19604,2513101.0999999996,2448419.9,-64681.19999999972,1.3706168547424866,1.190549853969839,0,Расчет(1).xlsx,official_calculation
2021,Q3,2021-09-30,Югорск,38544,1568630.7,1636584.2,67953.5,1.2658383505021604,0.8120609830467723,40572.7,Расчет(1).xlsx,official_calculation
2023,Q3,2023-09-30,Белоярский,28798,2374712.3,2385673.2333333334,10960.933333333582,1.1829288124345312,0.5995359970167642,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Берёзовский,22690,2186403.0999999996,2245768.166666667,59365.06666666735,1.1405855513217729,0.33622875379261213,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Когалым,62494,4277272.8,3316079.1000000006,-961193.6999999993,1.5376833626486872,0.9615523147861413,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Кондинский,30495,2354442.2,2450010.333333333,95568.13333333284,1.1249198131988372,0.45287072485884733,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Лангепас,43407,1881447.1,1994108.0333333332,112660.93333333312,1.1765043749004058,0.5057759056656644,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Мегион,59174,2551264.3000000003,2467137.733333333,-84126.56666666735,1.099493326500282,0.7885810979154639,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Нефтеюганск,124989,7460801.600000001,6492596.666666665,-968204.9333333354,1.3250593755187048,1.0461949313829886,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Нефтеюганский,47014,2963861.4,3101271.6333333324,137410.23333333246,0.6346596553064988,1.4560632730040934,,Расчет.xlsx,official_calculation
