period,value,oktmo,municipality_name,category_code,source_id,source_sha256
2023-01-01,36408,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2023-02-01,36554,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2023-03-01,40736,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2023-04-01,39245,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2023-05-01,41744,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2023-06-01,42103,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2023-07-01,44505,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2023-08-01,43904,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2023-09-01,40521,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2023-10-01,42928,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2023-11-01,42089,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2023-12-01,48279,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2024-01-01,41034,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2024-02-01,42789,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2024-03-01,47338,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2024-04-01,46529,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2024-05-01,47412,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2024-06-01,49352,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2024-07-01,50565,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2024-08-01,50202,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2024-09-01,45625,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2024-10-01,48736,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2024-11-01,47979,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
2024-12-01,55515,71876000,Сургут,ALL,sberindex_cashless_spending_municipal,e9a389e57dad7ec723ac58470fda2b2f870062a330efa979cb3952dd7513416d
