year,municipality_name,budget_side,group,item_name,amount,item_code,is_transfer,is_recurring,is_subvention,is_debt_service,is_borrowing,flexibility,source_file,notes
2025,Сургут,REVENUE,Собственные доходы,Доходы без безвозмездных поступлений,20489196.60116,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 1; тыс. руб."
2025,Сургут,REVENUE,Безвозмездные поступления,Безвозмездные поступления,28789166.99403,,1,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 1; тыс. руб."
2025,Сургут,EXPENDITURE,"Общегосударственные вопросы","Общегосударственные вопросы",3867339.65694,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2025,Сургут,EXPENDITURE,"Национальная безопасность и правоохранительная деятельность","Национальная безопасность и правоохранительная деятельность",331899.74044,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2025,Сургут,EXPENDITURE,"Национальная экономика","Национальная экономика",9825993.92479,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2025,Сургут,EXPENDITURE,"Жилищно-коммунальное хозяйство","Жилищно-коммунальное хозяйство",4052815.11884,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2025,Сургут,EXPENDITURE,"Охрана окружающей среды","Охрана окружающей среды",528904.23796,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2025,Сургут,EXPENDITURE,"Образование","Образование",28015897.55418,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2025,Сургут,EXPENDITURE,"Культура, кинематография","Культура, кинематография",1875654.82213,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2025,Сургут,EXPENDITURE,"Здравоохранение","Здравоохранение",7118.60170,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2025,Сургут,EXPENDITURE,"Социальная политика","Социальная политика",670258.45165,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2025,Сургут,EXPENDITURE,"Физическая культура и спорт","Физическая культура и спорт",2120047.23100,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2025,Сургут,EXPENDITURE,"Средства массовой информации","Средства массовой информации",3568.12940,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2025,Сургут,EXPENDITURE,"Обслуживание муниципального долга","Обслуживание муниципального долга",220724.70151,,0,,,1,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2025,Сургут,FINANCING,Источники финансирования,Источники финансирования дефицита,2241858.57535,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 2; тыс. руб."
2025,Сургут,EXCEPTION,Допустимые исключения,Специальные источники превышения базового предела,1285538.88023,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 2; тыс. руб."
2026,Сургут,REVENUE,Собственные доходы,Доходы без безвозмездных поступлений,19901372.70499,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 1; тыс. руб."
2026,Сургут,REVENUE,Безвозмездные поступления,Безвозмездные поступления,25261368.79081,,1,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 1; тыс. руб."
2026,Сургут,EXPENDITURE,"Общегосударственные вопросы","Общегосударственные вопросы",4643918.46441,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2026,Сургут,EXPENDITURE,"Национальная безопасность и правоохранительная деятельность","Национальная безопасность и правоохранительная деятельность",322391.64828,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2026,Сургут,EXPENDITURE,"Национальная экономика","Национальная экономика",7999277.25605,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
