year,municipality_name,tax_initial,nontax_initial,tax_actual,nontax_actual,program_expense,total_expense,budget_amendments,municipal_debt,own_revenue_base
2023,Белоярский,739390.7,133549.9,851687.3,154528.4,4975531.3,4975531.3,3,0,829308
2023,Березовский,394415.2,25022.1,438419.1,34093.1,5351624,5351624,3,0,454216.2
2023,Когалым,2011928.5,248819,2784798,303059.1,7287706,7327858.5,4,0,2650751.1
2023,Кондинский,664250.2,115238.9,727378.4,220177.3,5829545.9,5863524.2,19,56000,779731.5
2023,Лангепас,788503.9,70949.4,1007411.2,113557,3913561.8,3939203.6,4,64280,898198.9
2023,Мегион,1279737.7,229519.1,1587446.4,291822.5,7347227.2,7403290.7,4,339854.3,1711325.8
2023,Нефтеюганск,4055325.9,525910.3,4909305.8,1006760.2,16704655.5,16840037.2,8,0,4761744.8
2023,Нефтеюганский,1513515.8,490417.3,1977302.2,2046272.4,7554307,7588475.7,6,436236,4004410.1
2023,Нижневартовск,8789362.1,820829.1,10654018.4,993328,25894214.8,27149965.7,5,1239193,8108895.3
2023,Нижневартовский,1798988,602808,2335426.9,1552863.3,6461123.3,6461368.3,4,0,3888290.2
2023,Нягань,1448401.7,171420.4,1615277.8,257729.3,6929975.5,6943079.4,6,433966.6,1720955.8
2023,Октябрьский,833089.6,158507.8,1064405.4,223105.6,5848796.1,5853423.7,5,0,1154286.5
2023,Покачи,772210.1,32833.5,957115.9,36150,1915396,1918787.5,4,104100,423794.3
2023,Пыть-Ях,1302509.7,223042,1616588.2,294618.7,4566620,4618083.8,6,158888.9,1656485.8
2023,Радужный,627256.1,111479.8,704328.6,118712.5,3385022.1,3424071.5,4,0,823041.1
2023,Советский,767640.4,129156.8,879215.9,174725.2,6049864.6,6092515.6,7,304908.8,908856.2
2023,Сургут,13628316.1,1073852.3,15382565.6,1327084.7,37589716,40273903.8,4,1216587.8,14120774.5
2023,Сургутский,5510481.9,996761.2,6154270.1,1118925.7,17787195.9,17787325.5,2,0,7224292.2
2023,Урай,934814.8,156659.3,1057076.5,197112.3,4879711.2,4917599.6,5,0,1041173.7
2023,Ханты-Мансийск,4750459.7,232572.2,5116288.1,413839.1,15300639.2,15300639.2,5,448725.7,4794125.7
2023,Ханты-Мансийский,1324295.3,406884.7,1889990,616975.6,5161254.4,5256969.1,5,0,2177111.2
2023,Югорск,1586097.7,105413.5,1897993.4,173400.3,4846463.9,4867159.2,3,209134,1409815.4
2024,Белоярский,877678.1,112547.1,926430.2,119363.0,6475841.5,6475841.5,4.0,0.0,869153.6
2024,Березовский,478272.0,24535.8,485959.7,38436.6,5684011.8,5684011.8,4.0,0.0,504715.70000000007
2024,Когалым,2224365.6,254219.4,3357313.3,407135.5,7411205.6,7466942.5,4.0,0.0,3401279.0
2024,Кондинский,672950.8,152659.1,914432.1,173692.3,6543738.7,6579535.4,20.0,101666.7,881812.7
2024,Лангепас,916689.7,76398.7,1096836.8,142050.0,4643599.5,4671396.3,5.0,111848.0,1050795.4000000001
2024,Мегион,1532588.1,245229.0,1966865.4,360993.6,6668281.7,6793946.7,4.0,417508.6,2145557.2
2024,Нефтеюганск,4592372.1,525954.1,5695158.5,1081762.9,12365083.7,12608996.9,7.0,0.0,5713922.6
2024,Нефтеюганский,1971672.8,439782.5,2438616.5,1357617.7,8717549.8,8746489.1,4.0,565041.9,3776293.1
2024,Нижневартовск,8733350.3,620821.9,11361741.2,1491120.8,28145178.6,29379191.9,4.0,662881.0,10465966.1
2024,Нижневартовский,1932351.0,688498.0,2813333.6,1566015.6,6097895.0,6814166.0,4.0,0.0,4379349.2
2024,Нягань,2614560.5,185446.8,3120141.4,230322.5,8312875.0,8336363.1,7.0,268833.3,2144819.9
2024,Октябрьский,1209501.5,166842.8,1556420.5,443165.0,6224929.0,6237478.9,6.0,0.0,1569716.7
2024,Покачи,816041.4,31039.3,965732.2,45992.1,2313704.3,2324635.7,6.0,116593.6,508784.7
2024,Пыть-Ях,1516688.5,268773.7,1920349.4,405373.6,5414543.6,5465220.5,5.0,55555.5,2076501.4
2024,Радужный,753328.5,101257.1,1102874.2,106442.8,3869979.7,3948707.5,5.0,0.0,1026960.3
2024,Советский,922156.1,165131.9,1049153.5,191805.8,6284853.9,6323683.5,7.0,246800.4,1059836.5
2024,Сургут,15385274.2,1172957.6,19605926.6,1232495.6,40163291.4,43102449.6,5.0,189033.0,17619772.1
2024,Сургутский,6341620.7,876976.9,7044623.6,1034641.8,23254583.7,23256248.7,3.0,0.0,8032188.9
2024,Урай,1054914.4,178797.6,1368802.0,183152.0,6279868.6,6322476.2,5.0,0.0,1274641.0
2024,Ханты-Мансийск,5194032.8,215307.3,6069007.4,327173.9,17133734.9,17133734.9,2.0,298475.4,5738794.899999999
2024,Ханты-Мансийский,1524200.4,403011.7,1943038.5,884354.5,5664471.8,5817894.2,7.0,158589.6,2791461.7
2024,Югорск,1877795.5,117527.7,2035027.7,195968.2,5919498.0,5941621.4,3.0,255818.0,1612900.2999999998
2025,Белоярский,1627801.0,80902.3,1690601.7,157063.6,5613248.6,5613248.6,3.0,0.0,965615.7
2025,Березовский,568025.0,25021.9,583506.6,69783.0,7763294.3,7763294.3,5.0,0.0,588471.2
2025,Когалым,2936886.4,260191.7,4435008.3,345774.9,10565569.0,10656357.7,3.0,0.0,4125377.9
2025,Кондинский,1805034.0,128238.6,2010416.7,218980.4,6607151.4,6653099.7,12.0,54000.0,993317.9
2025,Лангепас,1786094.6,84901.1,1982175.6,130050.6,5057520.1,5096240.0,5.0,246111.1,1152666.4
2025,Мегион,1808184.6,271493.1,2161533.4,329598.8,8279773.7,8369187.8,3.0,416978.7,2300825.6
2025,Нефтеюганск,5370663.6,561412.6,5966558.9,560594.2,13708371.4,14063453.2,7.0,0.0,5708692.4
2025,Нефтеюганский,2385345.9,462813.8,2793559.7,3127835.5,9294708.4,9324193.6,3.0,591669.7,5901795.5
2025,Нижневартовск,11769447.9,667306.8,13051331.3,745454.5,29181350.1,30424565.3,3.0,274672.0,10405613.3
2025,Нижневартовский,2154661.0,661657.0,2790993.6,1411210.2,7011078.3,7734190.82601,8.0,0.0,4202203.7
2025,Нягань,2837191.5,203835.0,3176280.5,239004.7,11377779.2,11429646.4,6.0,398421.7,2350518.6
2025,Октябрьский,1825229.4,161701.9,2145949.5,247522.0,7310138.9,7335158.2,5.0,0.0,1457774.9
2025,Покачи,871737.7,32632.9,963154.1,32959.8,2497703.1,2516011.7,6.0,181893.6,526328.0
2025,Пыть-Ях,1867847.6,237111.8,2115432.5,308887.3,5854037.5,5903793.5,4.0,172222.2,2199249.6
2025,Радужный,988015.0,108023.8,1239782.8,104213.3,4560498.4,4625243.8,3.0,0.0,1051071.9
2025,Советский,1004866.3,170174.0,1221410.2,173998.0,8858838.8,8893301.5,13.0,243046.9,1193863.7
2025,Сургут,19230756.2,1258440.4,21628115.2,1126274.6,45970377.8,49453472.8,4.0,0.0,18763424.4
2025,Сургутский,7166100.7,912138.3,7598161.2,1365908.2,23395495.1,23396575.1,2.0,0.0,8913836.6
2025,Урай,1815538.6,175557.7,2042853.8,185816.8,5627944.3,5696509.2,4.0,0.0,1339261.3
2025,Ханты-Мансийск,6019569.2,309066.4,6896807.1,429517.6,19243339.1,19267081.7,2.0,167970.9,6911444.7
2025,Ханты-Мансийский,1822464.3,446772.4,2169542.6,593157.7,6166107.4,6248298.5,4.0,100920.6,2754553.9
2025,Югорск,2119602.5,236095.1,2092288.0,214047.8,8132480.8,8216170.8,4.0,442499.9,1772026.3
