year,municipality_name,article136_high_subsidy_flag,quality_score_workbook_value,budget_law_violation_count,rank,source_file,source_sheet
2023,Белоярский,0,#NAME?,1,2,Расчет по итогам 2023.xlsm,Расчет
2023,Березовский,1,#NAME?,0,4,Расчет по итогам 2023.xlsm,Расчет
2023,Когалым,0,#NAME?,0,2,Расчет по итогам 2023.xlsm,Расчет
2023,Кондинский,0,#NAME?,0,7,Расчет по итогам 2023.xlsm,Расчет
2023,Лангепас,0,#NAME?,0,4,Расчет по итогам 2023.xlsm,Расчет
2023,Мегион,0,#NAME?,0,10,Расчет по итогам 2023.xlsm,Расчет
2023,Нефтеюганск,0,#NAME?,0,10,Расчет по итогам 2023.xlsm,Расчет
2023,Нефтеюганский,0,#NAME?,0,9,Расчет по итогам 2023.xlsm,Расчет
2023,Нижневартовск,0,#NAME?,0,13,Расчет по итогам 2023.xlsm,Расчет
2023,Нижневартовский,0,#NAME?,0,5,Расчет по итогам 2023.xlsm,Расчет
2023,Нягань,0,#NAME?,0,9,Расчет по итогам 2023.xlsm,Расчет
2023,Октябрьский,0,#NAME?,0,3,Расчет по итогам 2023.xlsm,Расчет
2023,Покачи,0,#NAME?,0,8,Расчет по итогам 2023.xlsm,Расчет
2023,Пыть-Ях,0,#NAME?,0,7,Расчет по итогам 2023.xlsm,Расчет
2023,Радужный,0,#NAME?,0,1,Расчет по итогам 2023.xlsm,Расчет
2023,Советский,0,#NAME?,0,8,Расчет по итогам 2023.xlsm,Расчет
2023,Сургут,0,#NAME?,0,12,Расчет по итогам 2023.xlsm,Расчет
2023,Сургутский,0,#NAME?,0,1,Расчет по итогам 2023.xlsm,Расчет
2023,Урай,0,#NAME?,0,6,Расчет по итогам 2023.xlsm,Расчет
2023,Ханты-Мансийск,0,#NAME?,0,3,Расчет по итогам 2023.xlsm,Расчет
2023,Ханты-Мансийский,0,#NAME?,0,6,Расчет по итогам 2023.xlsm,Расчет
2023,Югорск,0,#NAME?,0,5,Расчет по итогам 2023.xlsm,Расчет
2024,Белоярский,0.0,#NAME?,0.0,2.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Березовский,1.0,#NAME?,1.0,3.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Когалым,0.0,#NAME?,0.0,1.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Кондинский,0.0,#NAME?,0.0,9.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Лангепас,0.0,#NAME?,0.0,8.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Мегион,0.0,#NAME?,0.0,13.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Нефтеюганск,0.0,#NAME?,0.0,6.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Нефтеюганский,0.0,#NAME?,0.0,8.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Нижневартовск,0.0,#NAME?,0.0,12.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Нижневартовский,0.0,#NAME?,0.0,6.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Нягань,0.0,#NAME?,0.0,11.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Октябрьский,0.0,#NAME?,0.0,4.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Покачи,0.0,#NAME?,0.0,10.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Пыть-Ях,0.0,#NAME?,0.0,9.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Радужный,0.0,#NAME?,0.0,5.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Советский,0.0,#NAME?,0.0,5.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Сургут,0.0,#NAME?,0.0,3.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Сургутский,0.0,#NAME?,0.0,1.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Урай,0.0,#NAME?,0.0,4.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Ханты-Мансийск,0.0,#NAME?,0.0,2.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Ханты-Мансийский,0.0,#NAME?,0.0,7.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2024,Югорск,0.0,#NAME?,0.0,7.0,Расчет по итогам 2024 (на сайт).xlsx,Расчет
2025,Белоярский,0.0,#NAME?,0.0,1.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Березовский,0.0,#NAME?,0.0,4.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Когалым,0.0,#NAME?,0.0,2.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Кондинский,0.0,#NAME?,0.0,7.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Лангепас,0.0,#NAME?,0.0,7.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Мегион,0.0,#NAME?,0.0,8.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Нефтеюганск,0.0,#NAME?,0.0,6.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Нефтеюганский,0.0,#NAME?,0.0,9.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Нижневартовск,0.0,#NAME?,0.0,5.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Нижневартовский,0.0,#NAME?,0.0,8.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Нягань,0.0,#NAME?,0.0,9.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Октябрьский,0.0,#NAME?,0.0,3.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Покачи,0.0,#NAME?,1.0,12.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Пыть-Ях,0.0,#NAME?,0.0,11.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Радужный,0.0,#NAME?,0.0,4.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Советский,0.0,#NAME?,0.0,5.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Сургут,0.0,#NAME?,0.0,10.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Сургутский,0.0,#NAME?,0.0,2.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Урай,0.0,#NAME?,0.0,3.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Ханты-Мансийск,0.0,#NAME?,0.0,1.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Ханты-Мансийский,0.0,#NAME?,0.0,6.0,Расчет по итогам 2025 год.xlsx,Расчет
2025,Югорск,0.0,#NAME?,0.0,13.0,Расчет по итогам 2025 год.xlsx,Расчет
