period,geography_name,geography_level,variable,value,unit,source,publication_date,as_of_date,notes
2023-01-01,ХМАО,REGION,cpi_index,100.000,index,SYNTHETIC_DEMO,2023-02-10,2023-02-10,"synthetic test only"
2023-01-01,ХМАО,REGION,fuel_price_index,100.000,index,SYNTHETIC_DEMO,2023-02-10,2023-02-10,"synthetic test only"
2023-01-01,ХМАО,REGION,income_index,100.000,index,SYNTHETIC_DEMO,2023-02-10,2023-02-10,"synthetic test only"
2023-01-01,ХМАО,REGION,consumer_spending_real_proxy,100.000,index,SYNTHETIC_DEMO,2023-02-10,2023-02-10,"synthetic test only"
2023-02-01,ХМАО,REGION,cpi_index,100.813,index,SYNTHETIC_DEMO,2023-03-10,2023-03-10,"synthetic test only"
2023-02-01,ХМАО,REGION,fuel_price_index,101.070,index,SYNTHETIC_DEMO,2023-03-10,2023-03-10,"synthetic test only"
2023-02-01,ХМАО,REGION,income_index,101.046,index,SYNTHETIC_DEMO,2023-03-10,2023-03-10,"synthetic test only"
2023-02-01,ХМАО,REGION,consumer_spending_real_proxy,101.129,index,SYNTHETIC_DEMO,2023-03-10,2023-03-10,"synthetic test only"
2023-03-01,ХМАО,REGION,cpi_index,101.573,index,SYNTHETIC_DEMO,2023-04-10,2023-04-10,"synthetic test only"
2023-03-01,ХМАО,REGION,fuel_price_index,102.060,index,SYNTHETIC_DEMO,2023-04-10,2023-04-10,"synthetic test only"
2023-03-01,ХМАО,REGION,income_index,102.071,index,SYNTHETIC_DEMO,2023-04-10,2023-04-10,"synthetic test only"
2023-03-01,ХМАО,REGION,consumer_spending_real_proxy,102.179,index,SYNTHETIC_DEMO,2023-04-10,2023-04-10,"synthetic test only"
2023-04-01,ХМАО,REGION,cpi_index,102.237,index,SYNTHETIC_DEMO,2023-05-10,2023-05-10,"synthetic test only"
2023-04-01,ХМАО,REGION,fuel_price_index,102.901,index,SYNTHETIC_DEMO,2023-05-10,2023-05-10,"synthetic test only"
2023-04-01,ХМАО,REGION,income_index,103.054,index,SYNTHETIC_DEMO,2023-05-10,2023-05-10,"synthetic test only"
2023-04-01,ХМАО,REGION,consumer_spending_real_proxy,103.080,index,SYNTHETIC_DEMO,2023-05-10,2023-05-10,"synthetic test only"
2023-05-01,ХМАО,REGION,cpi_index,102.782,index,SYNTHETIC_DEMO,2023-06-10,2023-06-10,"synthetic test only"
2023-05-01,ХМАО,REGION,fuel_price_index,103.538,index,SYNTHETIC_DEMO,2023-06-10,2023-06-10,"synthetic test only"
2023-05-01,ХМАО,REGION,income_index,103.978,index,SYNTHETIC_DEMO,2023-06-10,2023-06-10,"synthetic test only"
2023-05-01,ХМАО,REGION,consumer_spending_real_proxy,103.782,index,SYNTHETIC_DEMO,2023-06-10,2023-06-10,"synthetic test only"
2023-06-01,ХМАО,REGION,cpi_index,103.208,index,SYNTHETIC_DEMO,2023-07-10,2023-07-10,"synthetic test only"
2023-06-01,ХМАО,REGION,fuel_price_index,103.940,index,SYNTHETIC_DEMO,2023-07-10,2023-07-10,"synthetic test only"
2023-06-01,ХМАО,REGION,income_index,104.829,index,SYNTHETIC_DEMO,2023-07-10,2023-07-10,"synthetic test only"
2023-06-01,ХМАО,REGION,consumer_spending_real_proxy,104.259,index,SYNTHETIC_DEMO,2023-07-10,2023-07-10,"synthetic test only"
2023-07-01,ХМАО,REGION,cpi_index,103.542,index,SYNTHETIC_DEMO,2023-08-10,2023-08-10,"synthetic test only"
2023-07-01,ХМАО,REGION,fuel_price_index,104.100,index,SYNTHETIC_DEMO,2023-08-10,2023-08-10,"synthetic test only"
2023-07-01,ХМАО,REGION,income_index,105.596,index,SYNTHETIC_DEMO,2023-08-10,2023-08-10,"synthetic test only"
2023-07-01,ХМАО,REGION,consumer_spending_real_proxy,104.513,index,SYNTHETIC_DEMO,2023-08-10,2023-08-10,"synthetic test only"
2023-08-01,ХМАО,REGION,cpi_index,103.826,index,SYNTHETIC_DEMO,2023-09-10,2023-09-10,"synthetic test only"
2023-08-01,ХМАО,REGION,fuel_price_index,104.041,index,SYNTHETIC_DEMO,2023-09-10,2023-09-10,"synthetic test only"
2023-08-01,ХМАО,REGION,income_index,106.278,index,SYNTHETIC_DEMO,2023-09-10,2023-09-10,"synthetic test only"
2023-08-01,ХМАО,REGION,consumer_spending_real_proxy,104.577,index,SYNTHETIC_DEMO,2023-09-10,2023-09-10,"synthetic test only"
2023-09-01,ХМАО,REGION,cpi_index,104.115,index,SYNTHETIC_DEMO,2023-10-10,2023-10-10,"synthetic test only"
2023-09-01,ХМАО,REGION,fuel_price_index,103.806,index,SYNTHETIC_DEMO,2023-10-10,2023-10-10,"synthetic test only"
2023-09-01,ХМАО,REGION,income_index,106.873,index,SYNTHETIC_DEMO,2023-10-10,2023-10-10,"synthetic test only"
2023-09-01,ХМАО,REGION,consumer_spending_real_proxy,104.505,index,SYNTHETIC_DEMO,2023-10-10,2023-10-10,"synthetic test only"
2023-10-01,ХМАО,REGION,cpi_index,104.462,index,SYNTHETIC_DEMO,2023-11-10,2023-11-10,"synthetic test only"
2023-10-01,ХМАО,REGION,fuel_price_index,103.460,index,SYNTHETIC_DEMO,2023-11-10,2023-11-10,"synthetic test only"
2023-10-01,ХМАО,REGION,income_index,107.389,index,SYNTHETIC_DEMO,2023-11-10,2023-11-10,"synthetic test only"
